Ссылка,Количество ладов (диапазон),Количество струн,Конфигурация звукоснимателей,Крепление грифа,Материал грифа,Материал корпуса,Материал накладки грифа,Материал топа,"Мензура, дюймы",Ориентация,Тип бриджа,Тип электроники,Форма корпуса
https://www.muztorg.ru/product/A051984,24,6,H-h,на болтах,клён,тополь,амарант,,25.5,правосторонняя,,,Modern stat
https://www.muztorg.ru/product/A121655,22,6,H-s-s,на болтах,клён,тополь,композит,тополь,,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A118287,24,6,H-h,на болтах,клён,тополь,амарант,,25.5,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A047649,22,6,H-s-h,на болтах,клён,тополь,палисандр,клён,,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A121653,22,6,H-s-s,на болтах,клён,тополь,композит,тополь,,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A118288,24,6,H-h,на болтах,клён,окуме,амарант,тополь,,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A063599,24,6,H-h,на болтах,клён,красное дерево,палисандр,красное дерево,,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A062112,24,6,H-h,на болтах,клён,окуме,амарант,,25.5,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A088479,22,6,S-s-h,на болтах,клён,тополь,ятоба,тополь,,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/44692,24,6,H-s-h,на болтах,клён,тополь,амарант,,25.5,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A121654,22,6,H-s-s,на болтах,клён,тополь,композит,тополь,,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/44700,22,6,S-s-h,на болтах,клён,окуме,ятоба,,25.5,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A051974,24,6,H-h,на болтах,клён,красное дерево,палисандр,красное дерево,,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A144898,22,6,H-s-s,на болтах,клён,тополь,композит,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A121652,22,6,H-s-s,на болтах,клён,тополь,композит,тополь,,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A155754,22,6,S-s-s,на болтах,клён,ольха,клён,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A118289,22,6,H-s-h,на болтах,клён,тополь,ятоба,клён,,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A073953,24,7,H-h,на болтах,клён,красное дерево,ятоба,,25.5,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/44699,20,6,H-s-s,на болтах,клён,агатис,палисандр,,25.5,правосторонняя,тремоло,,
https://www.muztorg.ru/product/A124811,21,6,S-s-s,на болтах,клён,тополь,клён,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A144905,22,6,H-s-s,на болтах,клён,тополь,композит,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A155487,24,6,H-h,на болтах,клён,тополь,амарант,клён,,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A124832,21,6,S-s,на болтах,клён,тополь,,,25.5,правосторонняя,,пассивная,Telecaster
https://www.muztorg.ru/product/A144896,22,6,H-s-s,на болтах,клён,тополь,композит,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A134583,22,6,S-s-s,на болтах,клён,липа,,,25.5,правосторонняя,тремоло,,Stratocaster
https://www.muztorg.ru/product/A148205,24,6,H-h,на болтах,клён,падук,палисандр,,25.5,правосторонняя,фиксированный,,
https://www.muztorg.ru/product/A144904,22,6,H-s-s,на болтах,клён,тополь,клён,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A148227,22,6,H-s-s,на болтах,клён,,клён,,25.5,правосторонняя,тремоло,,Superstrat
https://www.muztorg.ru/product/A155486,24,6,H-h,на болтах,клён,окуме,амарант,,25.5,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A089426,,6,,на болтах,клён,тополь,амарант,тополь,25.5,правосторонняя,тремоло,,Stratocaster
https://www.muztorg.ru/product/A127755,22,6,H-s-s,на болтах,клён,тополь,ятоба,,25,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A144906,22,6,H-s-s,на болтах,клён,тополь,клён,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A155233,22,6,H-s-s,на болтах,клён,липа,палисандр,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A155237,22,6,S-s,на болтах,клён,тополь,клён,тополь,,правосторонняя,,,Telecaster
https://www.muztorg.ru/product/A089425,,6,,на болтах,клён,тополь,амарант,,25.5,правосторонняя,тремоло,пассивная,Superstrat
https://www.muztorg.ru/product/A144899,22,6,H-s-s,на болтах,клён,тополь,композит,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A073984,22,6,H-s-s,на болтах,клён,красное дерево,ятоба,,25.5,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A089424,,7,,на болтах,клён,тополь,амарант,,26.5,правосторонняя,тремоло,пассивная,Superstrat
https://www.muztorg.ru/product/A100491,22,6,H-h,на болтах,клён,тополь,ятоба,,25.5,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A148202,22,6,S-s-s,на болтах,клён,красное дерево,палисандр,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A134585,22,6,S-s-s,на болтах,клён,липа,,,25.5,правосторонняя,тремоло,,Stratocaster
https://www.muztorg.ru/product/A106261,22,6,H-h,вклеенный,красное дерево,красное дерево,лавр,,24.75,правосторонняя,,,Sg
https://www.muztorg.ru/product/A155752,22,6,H-s-s,на болтах,клён,ольха,клён,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A089423,,6,,на болтах,клён,тополь,амарант,,25.5,правосторонняя,тремоло,пассивная,Superstrat
https://www.muztorg.ru/product/A089430,,6,,на болтах,клён,нато,амарант,,24.75,правосторонняя,тремоло,пассивная,Les paul
https://www.muztorg.ru/product/A144910,22,6,S-s-s,на болтах,клён,тополь,ламинат,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A118267,22,6,H-h,вклеенный,ньятон,липа,орех,липа,,правосторонняя,,,другая форма
https://www.muztorg.ru/product/A089422,,6,,на болтах,клён,тополь,амарант,тополь,25.5,правосторонняя,тремоло,,Stratocaster
https://www.muztorg.ru/product/A137384,24,6,H-h,на болтах,клён,тополь,ятоба,,25.5,правосторонняя,,,Superstrat
https://www.muztorg.ru/product/A089429,22,6,H-h,на болтах,клён,тополь,амарант,тополь,,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A081181,,6,H-s-s,на болтах,клён,ольха,клён,ольха,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A177223,24,6,H-h,на болтах,клён,тополь,,,25.5,,тремоло,,Superstrat
https://www.muztorg.ru/product/A214905,21,6,S-s,на болтах,клён,тополь,клён,,25.5,,фиксированный,,Telecaster
https://www.muztorg.ru/product/A171686,24,6,H-h,на болтах,клён,тополь,лавр,ламинат,,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A171688,22,6,H-s-s,вклеенный,клён,тополь,,,25.5,правосторонняя,фиксированный,,Stratocaster
https://www.muztorg.ru/product/A171696,22,6,H-h,на болтах,,тополь,,тополь,25.5,правосторонняя,тремоло,,Stratocaster
https://www.muztorg.ru/product/A184471,24,6,H-h,на болтах,клён,тополь,амарант,,25.5,правосторонняя,тремоло,,
https://www.muztorg.ru/product/A160069,22,6,S-s-h,на болтах,клён,липа,палисандр,,25.5,правосторонняя,,,Stratocaster
https://www.muztorg.ru/product/A171687,22,6,H-h-s,на болтах,клён,тополь,амарант,,25.5,правосторонняя,тремоло,,
